#{"t_start": 1759916674.239432, "env_id": "None"}
r,l,t
1000.202009,500,3784.197899
1117.322764,500,3785.082585
1376.699201,500,3787.568213
1376.637611,500,3788.462331
1376.636857,500,3789.354651
1376.695595,500,3790.249349
1117.549176,500,3792.737463
1036.797471,500,3793.62758
1376.701331,500,3794.550022
1036.574572,500,3795.465475
1117.339684,500,3797.978419
1376.702066,500,3798.868452
1376.656499,500,3799.744523
1117.408408,500,3800.64079
1376.697911,500,3803.287355
1117.53997,500,3804.178545
1376.682561,500,3805.050867
1117.57182,500,3805.946475
1036.624503,500,3808.588131
1036.799583,500,3809.500303
1376.701318,500,3810.375311
1376.687472,500,3811.298796
1000.160069,500,3813.802612
1376.637247,500,3814.693344
1117.504956,500,3815.566038
1036.779474,500,3816.453494
1117.522517,500,3824.757967
1376.696886,500,3825.691335
1376.65189,500,3826.584005
1376.675192,500,3827.513388
1376.622414,500,3830.071606
1000.168574,500,3830.992521
1000.165877,500,3831.871701
1117.48586,500,3832.771577
1000.178968,500,3835.270319
1376.603883,500,3836.187963
1376.699428,500,3837.073071
1036.387067,500,3837.957045
1036.137748,500,3840.428076
1117.585072,500,3841.32237
1117.481979,500,3842.201903
1376.637899,500,3843.088707
1376.697441,500,3843.971651
1000.156947,500,3846.466961
1117.517618,500,3847.364576
1117.501493,500,3848.282615
1117.566215,500,3849.173137
1000.187232,500,3851.830823
1117.489242,500,3852.731839
1036.817952,500,3853.633167
1036.773992,500,3854.521328
1000.160685,500,3860.553606
1000.148918,500,3861.425151
1000.196392,500,3862.319293
1036.816607,500,3863.199495
1376.657351,500,3865.744452
1117.530542,500,3866.622476
1000.21539,500,3867.5085
1036.160697,500,3868.379468
1376.673396,500,3870.890884
1117.472381,500,3871.778369
1000.190923,500,3872.687114
1376.627696,500,3873.592767
1036.828474,500,3876.099291
1376.699595,500,3876.998558
1117.328009,500,3877.893042
1117.465282,500,3878.782402
1000.221214,500,3881.273972
1036.755402,500,3882.169053
1036.794187,500,3883.10406
1376.674223,500,3884.000579
1000.199697,500,3886.829011
1000.217553,500,3887.708393
1036.772147,500,3888.596758
1117.342797,500,3889.470998
1117.553885,500,3895.837456
1036.812806,500,3896.722865
1000.175141,500,3897.61832
1376.626671,500,3898.495116
1000.200411,500,3901.533535
1117.558434,500,3902.413306
1117.60113,500,3903.308964
1036.807938,500,3904.207881
1117.359731,500,3905.11902
1376.697315,500,3908.091362
1376.698417,500,3909.00903
1117.325832,500,3909.919088
1000.203631,500,3910.809039
1000.206396,500,3913.503106
1036.399023,500,3914.392465
1036.674429,500,3915.287618
1036.807953,500,3916.16915
1117.399942,500,3918.863156
1376.696802,500,3919.753021
1000.212239,500,3920.643482
1376.693939,500,3921.55291
1117.516214,500,3924.078397
1000.199643,500,3924.978891
1117.49198,500,3925.869076
1376.6965,500,3930.341201
1036.807212,500,3932.923468
1117.571943,500,3933.844802
1000.183964,500,3934.724171
1036.507954,500,3935.626242
1117.478972,500,3938.121844
1117.478816,500,3939.03166
1117.470075,500,3939.93062
1036.153574,500,3940.872412
1036.80992,500,3943.382602
1376.689749,500,3944.313825
1117.565265,500,3945.234159
1117.504599,500,3946.161879
1036.387587,500,3948.674715
1117.602572,500,3949.571194
1000.224736,500,3950.491862
1117.525665,500,3951.404957
1000.179621,500,3953.953029
1117.466749,500,3954.877616
1376.651869,500,3955.756538
1000.212746,500,3956.652051
1376.699416,500,3959.198102
1036.502421,500,3960.08517
1117.4207,500,3960.962579
1117.508457,500,3961.848547
1117.494067,500,3967.895883
1117.583691,500,3968.778477
1117.533536,500,3969.6517
1000.172306,500,3970.541657
1000.173204,500,3971.423276
1036.764377,500,3973.908454
1376.695594,500,3974.79263
1117.402518,500,3975.689458
1117.476137,500,3976.574696
1000.21995,500,3979.059865
1376.687138,500,3979.946906
1000.223454,500,3980.85688
1117.544495,500,3981.733925
1000.181674,500,3984.226662
1000.214465,500,3985.112268
1000.230016,500,3986.012294
1000.182986,500,3986.905529
1376.615486,500,3989.374345
1000.23102,500,3990.265353
1036.122795,500,3991.160286
1376.59993,500,3992.04
1376.691408,500,3994.541017
1036.120325,500,3995.42021
1000.230443,500,3996.306492
1000.210798,500,3997.190791
1117.336823,500,4003.232385
1117.525273,500,4004.10336
1117.421294,500,4004.991075
1117.56263,500,4005.864564
1376.699534,500,4008.366771
1036.823861,500,4009.256198
1036.808199,500,4010.154089
1000.225992,500,4011.034717
1376.697374,500,4013.531063
1000.196451,500,4014.419985
1036.456348,500,4015.319407
1036.054046,500,4016.189893
1376.656098,500,4018.668291
1036.739734,500,4019.559051
1000.188888,500,4020.456585
1036.805533,500,4021.335097
1117.581421,500,4023.80776
1117.47179,500,4024.68813
1000.161875,500,4025.573804
1376.693828,500,4026.452034
1376.685512,500,4027.338365
1376.701818,500,4030.017493
1036.658424,500,4030.903045
1117.489944,500,4031.781851
1000.207626,500,4032.666502
1117.529033,500,4039.416175
1117.548143,500,4040.310339
1376.584332,500,4041.190912
1117.559079,500,4042.087195
1376.697298,500,4044.946162
1117.596324,500,4045.827036
1036.809397,500,4046.714691
1376.663322,500,4047.610928
1117.565595,500,4050.498598
1376.648603,500,4051.382652
1117.569503,500,4052.256847
1000.204177,500,4053.149947
1376.667211,500,4056.025408
1000.222601,500,4056.914819
1000.192222,500,4057.799257
1117.432442,500,4058.683495
1376.694444,500,4061.579871
1376.629639,500,4062.471112
1117.574634,500,4063.358589
1117.337842,500,4064.239779
1036.762716,500,4067.065161
1036.713258,500,4067.955917
1000.175955,500,4068.850407
1036.678203,500,4069.748184
1117.493858,500,4075.835417
1376.675907,500,4076.722985
1117.55581,500,4077.610135
1117.530471,500,4078.496278
1000.191934,500,4080.997798
1376.694173,500,4081.896694
1117.228642,500,4082.786678
1036.190263,500,4083.679219
1000.204219,500,4086.175576
1376.698781,500,4087.08388
1376.701372,500,4087.977448
1036.78479,500,4088.874867
1117.290444,500,4091.726403
1117.543609,500,4092.620451
1000.221053,500,4093.497787
1117.462598,500,4094.38891
1000.215575,500,4095.273174
1000.224923,500,4098.155397
1376.628026,500,4099.037147
1117.526675,500,4099.920597
1376.685287,500,4100.797126
1117.433962,500,4103.710978
1036.821657,500,4104.605223
1376.65301,500,4105.513197
1036.247751,500,4109.990343
1376.598049,500,4112.846384
1036.741144,500,4113.739312
1376.697063,500,4114.618734
1117.558192,500,4115.49679
1117.491612,500,4118.002654
1117.334545,500,4118.871523
1036.627707,500,4119.769848
1117.374038,500,4120.649593
1036.691899,500,4123.55016
1036.826326,500,4124.433236
1036.778459,500,4125.316726
1117.546083,500,4126.205614
1376.692125,500,4129.100394
1376.692251,500,4129.988995
1000.138958,500,4130.876503
1117.569867,500,4131.752016
1036.798666,500,4134.664016
1376.610556,500,4135.542686
1036.817409,500,4136.442647
1376.633268,500,4137.326171
1036.741007,500,4140.199023
1376.700458,500,4141.084155
1036.814395,500,4145.553123
1376.677846,500,4146.42534
1117.579436,500,4149.441963
1376.587726,500,4150.324222
1376.698237,500,4151.211366
1376.685084,500,4152.097186
1117.569609,500,4155.302799
1376.683741,500,4156.188173
1000.156495,500,4157.091855
1117.534311,500,4157.980886
1000.134042,500,4158.876011
1036.749589,500,4161.396912
1036.69415,500,4162.28882
1036.813056,500,4163.168175
1117.580366,500,4164.053301
1000.214582,500,4166.59971
1376.693065,500,4167.489995
1000.217348,500,4168.367297
1117.505682,500,4169.25117
1036.255645,500,4171.763983
1036.823136,500,4172.666739
1036.831161,500,4173.547398
1000.217941,500,4174.449784
1036.629193,500,4176.94766
1036.828814,500,4181.420132
1000.223963,500,4182.30501
1376.69844,500,4183.205711
1036.340262,500,4186.416197
1376.599917,500,4187.309695
1376.696813,500,4188.180762
1036.166959,500,4189.076698
1036.809038,500,4191.799635
1036.407442,500,4192.705915
1000.210322,500,4193.589933
1117.571442,500,4194.50265
1117.370881,500,4197.220038
1036.834858,500,4198.115948
1117.56063,500,4198.987516
1000.229009,500,4199.87715
1117.580509,500,4202.363712
1117.574287,500,4203.266968
1036.524891,500,4204.15904
1000.198188,500,4205.061333
1036.718004,500,4207.566307
1000.173879,500,4208.464154
1376.691199,500,4209.347275
1000.187701,500,4210.241661
1000.204167,500,4212.770179
1117.581866,500,4217.260086
1117.566978,500,4218.148001
1376.598872,500,4219.045102
1376.582242,500,4219.935478
1000.223379,500,4222.718292
1376.699165,500,4223.611158
1376.6519,500,4224.495215
1036.817308,500,4225.38114
1000.225925,500,4227.894899
1117.578018,500,4228.782022
1036.826224,500,4229.677553
1036.790284,500,4230.575774
1376.691918,500,4233.088258
1117.549167,500,4233.966396
1376.695313,500,4234.858768
1376.694954,500,4235.738361
1117.426661,500,4238.236061
1117.529156,500,4239.124726
1036.74821,500,4240.041643
1376.696896,500,4240.920904
1000.203598,500,4243.445652
1117.588939,500,4244.322584
1117.589152,500,4245.215338
1117.537561,500,4246.11251
1036.798185,500,4248.637187
1117.585561,500,4253.092557
1117.564166,500,4253.973612
1036.169486,500,4254.859633
1376.658386,500,4257.348796
1376.697432,500,4258.256762
1117.578966,500,4259.152519
1117.495083,500,4260.055652
1036.831687,500,4262.586441
1000.208792,500,4263.468575
1117.565402,500,4264.348848
1376.684372,500,4265.225689
1036.826562,500,4268.077461
1000.231368,500,4268.953336
1036.822451,500,4269.843374
1117.512424,500,4270.71908
1000.215628,500,4273.925799
1000.221379,500,4274.813253
1376.660805,500,4275.702122
1117.457252,500,4276.583922
